"编号","相关性等级 A/B/C","论文题目","作者","年份","期刊 / working paper 来源","ISSN","是否属于我指定的期刊名单","DOI","官方链接","研究对象","研究方法","核心结论","与我的论文关系","可支撑的论文部分","建议引用位置","是否建议加入最终参考文献","备注"
"1","A","How to Talk When a Machine Is Listening: Corporate Disclosure in the Age of AI","Sean Cao; Wei Jiang; Baozhong Yang; Alan L. Zhang","2023","The Review of Financial Studies","0893-9454","是","10.1093/rfs/hhad021","https://academic.oup.com/rfs/article/36/9/3603/7087110","公司披露、机器下载、AI 投资者、10-K 文本","事件研究、文本分析、机器可读性度量","AI 读者会促使企业优化披露文本的机器可读性并调整语调","直接说明金融披露已面向机器读者，支撑可审计金融 AI 和 RAG 系统的重要性","课题意义、国内外研究现况、结论价值","课题来源与意义中介绍金融披露机器可读需求后","是","近 3-5 年指定英文顶刊，最优先引用"
"2","A","Disclosure Sentiment: Machine Learning vs. Dictionary Methods","Richard Frankel; Jared Jennings; Joshua Lee","2022","Management Science","0025-1909","否（扩展参考）","10.1287/mnsc.2021.4156","https://pubsonline.informs.org/doi/10.1287/mnsc.2021.4156","10-K、业绩电话会、披露情绪","机器学习与词典法比较、收益反应检验","机器学习情绪度量相比词典法更能解释 10-K 与电话会日期的市场反应","支持领域化机器学习/NLP 在金融披露文本中的必要性","国内外研究现况、方法合理性","讨论领域化稠密检索和金融文本语义偏差时","是","扩展参考，高度相关"
"3","A","FinBERT: A Large Language Model for Extracting Information from Financial Text","Allen H. Huang; Hui Wang; Yi Yang","2023","Contemporary Accounting Research","0823-9150","否（扩展参考）","10.1111/1911-3846.12832","https://researchportal.hkust.edu.hk/en/publications/finbert-a-large-language-model-for-extracting-information-from-fi","分析师报告、业绩电话会、金融文本情绪","金融领域预训练语言模型、迁移学习、情绪分类","金融领域语言模型明显优于通用模型和传统词典，尤其适合金融语义上下文","直接支撑领域化稠密检索和领域适配模型的必要性","国内外研究现况、方法与实验","介绍领域化模型和金融语义理解时","是","扩展参考，高度相关"
"4","A","Financial Statement Analysis with Large Language Models","Alex G. Kim; Maximilian Muhn; Valeri V. Nikolaev","2024","Becker Friedman Institute Working Paper / SSRN","无","否（扩展参考）","10.2139/ssrn.4835311","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4835311","财务报表分析、未来盈余方向预测","LLM 财务报表分析实验、与人类分析师和专用 ML 模型比较","LLM 在匿名标准化财务报表上可产生有用预测与解释，但属于工作论文证据","支撑智能投研、财务报表问答和数值推理场景的现实意义","课题意义、结论应用价值","讨论智能投研与自动化财务分析时","是","必须标注 working paper，不能写作期刊论文"
"5","A","Textual Analysis in Accounting: What's Next?","Khrystyna Bochkay; Stephen V. Brown; Andrew J. Leone; Jennifer Wu Tucker","2023","Contemporary Accounting Research","0823-9150","否（扩展参考）","10.1111/1911-3846.12825","https://www.scholars.northwestern.edu/en/publications/textual-analysis-in-accounting-whats-next/","会计与公司披露文本分析研究","综述、NLP 方法框架、构念效度讨论","文本分析已成为会计研究重要方法，深度学习和机器学习是未来方向","可作为经管领域金融/会计文本分析综述入口","国内外研究现况","在综述中承接技术文献与经管文本分析文献","是","扩展参考，近 3-5 年综述"
"6","A","When Is a Liability Not a Liability? Textual Analysis, Dictionaries, and 10-Ks","Tim Loughran; Bill McDonald","2011","Journal of Finance","0022-1082","是","10.1111/j.1540-6261.2010.01625.x","https://doi.org/10.1111/j.1540-6261.2010.01625.x","10-K 文本、金融词典、披露语调","金融领域词典构建、市场反应检验","通用词典在金融文本中误判严重，金融专用词典能解释收益、交易量和波动","支撑金融文本领域化处理，而不是直接使用通用 NLP 方法","国内外研究现况、关键理论","解释金融术语、缩写和领域化检索动机时","是","基础经典文献，早于 2021 但必须引用"
"7","A","Measuring Readability in Financial Disclosures","Tim Loughran; Bill McDonald","2014","Journal of Finance","0022-1082","是","10.1111/jofi.12162","https://doi.org/10.1111/jofi.12162","金融披露可读性、10-K 文档复杂度","可读性指标比较、10-K 文件大小代理变量","金融披露可读性应围绕估值相关信息传达效果衡量，传统 Fog 指数存在局限","支撑金融披露文本复杂性与信息处理成本，也支撑证据定位问题","课题意义、理论依据","论述长篇披露文本和可读性问题时","是","基础经典文献，指定英文顶刊"
"8","A","Lazy Prices","Lauren Cohen; Christopher J. Malloy; Quoc Nguyen","2020","Journal of Finance","0022-1082","是","10.1111/jofi.12885","https://doi.org/10.1111/jofi.12885","10-K/10-Q 文本变化、MD&A、未来收益","大规模文本比较、投资组合检验、市场反应分析","财报措辞和结构变化包含未来收益与经营信息，投资者存在注意力不足","直接支撑文本证据定位、年份比较和跨期文本变化分析","课题意义、研究现况、方法解释","论述年份感知查询扩展和跨年比较时","是","2020 年，接近近 5 年且高度相关"
"9","A","Business News and Business Cycles","Leland Bybee; Bryan Kelly; Asaf Manela; Dacheng Xiu","2024","Journal of Finance","0022-1082","是","10.1111/jofi.13377","https://onlinelibrary.wiley.com/doi/10.1111/jofi.13377","商业新闻文本、宏观经济状态、股票市场回报","主题模型、新闻注意力度量、文本增强 VAR","新闻文本能追踪经济活动并预测市场和商业周期动态","支撑金融文本不只来自年报，也具有宏观和市场信息含量","国内外研究现况、结论意义","扩展金融文本信息含量论述时","是","近 3-5 年指定英文顶刊"
"10","A","Annual Report Readability, Current Earnings, and Earnings Persistence","Feng Li","2008","Journal of Accounting and Economics","0165-4101","否（扩展参考）","10.1016/j.jacceco.2008.02.003","https://www.sciencedirect.com/science/article/pii/S0165410108000141","年报可读性、盈利表现、盈余持续性","Fog 指数、年报长度、实证回归","盈利较差企业的年报更难读，年报可读性与盈余持续性相关","支撑年报复杂性和投资者信息处理成本","课题意义、关键理论","论述金融披露复杂性时","是","基础经典文献"
